Name,Maintained,CodeReview,Criticality
github.com/TypeStrong/ts-node,10,0,922
github.com/microsoft/WSL2-Linux-Kernel,10,0,958
github.com/ocaml/ocaml,10,9,570
github.com/openstack/cinder,10,0,486
github.com/solana-labs/token-list,0,0,355
github.com/teamcapybara/capybara,10,0,839
github.com/prestodb/presto,10,10,385
github.com/letscontrolit/ESPEasy,10,0,858
github.com/learningequality/kolibri,10,10,995
github.com/dotnet/roslyn,10,10,383
github.com/ember-cli/ember-cli,10,4,349
github.com/grails/grails-core,10,0,345
github.com/jhipster/generator-jhipster,10,1,120
github.com/kubernetes/website,10,10,119
github.com/webdriverio/webdriverio,10,4,289
github.com/freeCodeCamp/freeCodeCamp,10,9,118
github.com/meteor/meteor,10,5,64
github.com/postcss/autoprefixer,10,0,648
github.com/twisted/twisted,10,10,905
github.com/naev/naev,10,0,943
github.com/multipath-tcp/mptcp,10,0,76
github.com/liferay/liferay-portal,10,0,166
github.com/facebook/flow,10,10,199
github.com/angular/angular,10,0,36
github.com/cms-sw/cmssw,10,0,29
github.com/storybookjs/storybook,10,3,27
github.com/metasfresh/metasfresh,10,0,965
github.com/frappe/erpnext,10,2,31
github.com/istio/api,10,3,944
github.com/ant-design/ant-design,10,10,72
github.com/mesonbuild/meson,10,1,185
github.com/hashicorp/packer,10,8,319
github.com/bbc/simorgh,10,10,955
github.com/oracle/graaljs,10,0,377
github.com/KhronosGroup/Vulkan-ValidationLayers,10,8,696
github.com/ampproject/amphtml,10,10,316
github.com/matplotlib/matplotlib,10,10,137
github.com/urllib3/urllib3,10,10,789
github.com/Automattic/jetpack,10,10,184
github.com/octobercms/october,10,0,685
github.com/frappe/frappe,10,2,86
github.com/laradock/laradock,7,0,451
github.com/apache/hive,10,7,869
github.com/openlayers/openlayers,10,10,690
github.com/FStarLang/FStar,10,0,875
github.com/chapel-lang/chapel,10,6,872
github.com/aws/aws-sdk-java,10,0,444
github.com/kubernetes/autoscaler,10,10,603
github.com/pytorch/vision,10,10,607
github.com/xanmod/linux,10,0,195
github.com/istio/istio,10,5,167
github.com/micropython/micropython,10,0,558
github.com/nipy/nipype,10,4,889
github.com/Azure/azure-quickstart-templates,10,0,541
github.com/instructure/canvas-lms,10,7,413
github.com/dropwizard/dropwizard,10,7,717
github.com/wikimedia/mediawiki,10,0,674
github.com/spulec/moto,10,2,260
github.com/haskell/cabal,10,10,360
github.com/internetarchive/openlibrary,10,2,577
github.com/diaspora/diaspora,10,7,576
github.com/Z3Prover/z3,10,0,489
github.com/pretix/pretix,10,0,863
github.com/pantsbuild/pants,10,10,342
github.com/processing/processing,10,0,548
github.com/flyway/flyway,10,0,861
github.com/ethereum/go-ethereum,10,9,122
github.com/Homebrew/homebrew-cask,10,1,37
github.com/oracle/graal,10,0,407
github.com/snipe/snipe-it,10,0,763
github.com/openshift/console,10,10,852
github.com/symfony/console,10,0,957
github.com/quarkusio/quarkus,10,7,299
github.com/junit-team/junit5,10,0,480
github.com/conda-forge/staged-recipes,10,3,215
github.com/phpmyadmin/phpmyadmin,10,6,169
github.com/SeleniumHQ/selenium,10,2,357
github.com/puppetlabs/puppet,10,6,190
github.com/docker/docker-ce,0,0,272
github.com/go-gitea/gitea,10,9,267
github.com/google/closure-compiler,10,9,320
github.com/openwrt/openwrt,10,0,268
github.com/knative/serving,10,10,729
github.com/CenterForOpenScience/osf.io,10,0,658
github.com/openshift/installer,10,10,606
github.com/urfave/cli,10,3,671
github.com/highcharts/highcharts,10,6,879
github.com/dlang/phobos,10,9,388
github.com/sbt/sbt,10,2,421
github.com/gitlabhq/gitlabhq,10,0,217
github.com/TryGhost/Ghost,10,1,123
github.com/dask/distributed,10,8,751
github.com/dlang/druntime,0,10,744
github.com/kubevirt/kubevirt,10,10,563
github.com/cypress-io/cypress,10,8,156
github.com/eslint/eslint,10,8,65
github.com/ceph/ceph,10,10,19
github.com/Azure/azure-sdk-for-net,10,9,370
github.com/qt/qtbase,10,0,312
github.com/phpstan/phpstan,10,0,125
github.com/ethereum/ethereum-org-website,10,10,834
github.com/gohugoio/hugo,10,0,352
github.com/joke2k/faker,10,0,561
github.com/concourse/concourse,10,7,483
github.com/Azure/azure-sdk-for-python,10,10,795
github.com/socketio/socket.io,10,0,942
github.com/nedbat/coveragepy,10,0,610
github.com/FreeRDP/FreeRDP,10,10,212
github.com/plotly/plotly.js,10,3,785
github.com/liquibase/liquibase,10,8,586
github.com/magento/magento2,10,0,26
github.com/Automattic/mongoose,10,6,74
github.com/microsoft/TypeScript,10,8,209
github.com/minio/minio,10,8,989
github.com/EbookFoundation/free-programming-books,10,1,691
github.com/hashicorp/terraform-provider-aws,10,2,84
github.com/clap-rs/clap,10,0,224
github.com/containerd/containerd,10,10,138
github.com/travis-ci/travis-ci,0,0,599
github.com/pypa/setuptools,10,2,131
github.com/redis/redis,10,10,178
github.com/angular/angular.js,0,0,488
github.com/aws/aws-sdk-go,10,0,546
github.com/qgis/QGIS,10,8,200
github.com/netlify/netlify-cms,0,10,198
github.com/expo/expo,10,5,740
github.com/kubernetes-sigs/kustomize,10,10,801
github.com/pypa/pipenv,10,5,701
github.com/prometheus-operator/prometheus-operator,10,10,750
github.com/fastify/fastify,10,9,276
github.com/carbon-design-system/carbon,10,10,819
github.com/OSGeo/gdal,10,0,222
github.com/docker/cli,10,7,85
github.com/Perl/perl5,10,1,186
github.com/DSpace/DSpace,10,6,614
github.com/openfoodfoundation/openfoodnetwork,10,8,930
github.com/envoyproxy/envoy,10,10,273
github.com/syl20bnr/spacemacs,10,4,281
github.com/apache/kafka,10,9,203
github.com/avajs/ava,10,0,969
github.com/jellyfin/jellyfin,10,2,219
github.com/Azure/azure-rest-api-specs,10,10,128
github.com/opencv/opencv,10,9,130
github.com/servo/servo,10,0,172
github.com/Ultimaker/Cura,10,3,181
github.com/kovidgoyal/kitty,10,0,929
github.com/qmk/qmk_firmware,10,10,32
